have have,has,had,having
trip trip,trips,tripped,tripping
run run,runs,ran,running
look look,looks,looked,looking
deliver deliver,delivers,delivered,delivering
miss miss,misses,missed,missing
tell tell,tells,told,telling
verse verse,verses,versed,versing
walk walk,walks,walked,walking
stroll stroll,strolls,strolled,strolling
promenade promenade,promenades,promenaded,promenading
get get,gets,got,getting
own own,owns,owned,owning
point point,points,pointed,pointing
spot spot,spots,spotted,spotting
stop stop,stops,stopped,stopping
ask ask,asks,asked,asking
speculate speculate,speculates,speculated,speculating
give give,gives,gave,giving
grant grant,grants,granted,granting
hand hand,hands,handed,handing
talk talk,talks,talked,talking
speak speak,speaks,spoke,speaking
spend spend,spends,spent,spending
elapse elapse,elapses,elapsed,elapsing
lapse lapse,lapses,lapsed,lapsing
race race,races,raced,racing
rush rush,rushes,rushed,rushing
fly fly,flies,flew,flying
soar soar,soars,soared,soaring
immerse immerse,immerses,immersed,immersing
dive dive,dives,dove,diving
plunge plunge,plunges,plunged,plunging
dip dip,dips,dipped,dipping
duck duck,ducks,ducked,ducking
deliver deliver,delivers,delivered,delivering
surrender surrender,surrenders,surrendered,surrendering
read read,reads,read,reading
light light,lights,lit,lighting
sight sight,sights,sighted,sighting
miss miss,misses,missed,missing
lack lack,lacks,lacked,lacking
fail fail,fails,failed,failing
prefer prefer,prefers,preferred,preferring
choose choose,chooses,chose,choosing
think think,thinks,thought,thinking
imagine imagine,imagines,imagined,imagining
believe believe,believes,believed,believing
say say,says,said,saying
cause cause,causes,caused,causing
wish wish,wishes,wished,wishing
exit exit,exits,exited,exiting
seem seem,seems,seemed,seeming
look look,looks,looked,looking
appear appear,appears,appeared,appearing
create create,creates,created,creating
mix mix,mixes,mixed,mixing
criticize criticize,criticizes,criticized,criticizing
can can,can,can,can
please please,pleases,pleased,pleasing
like like,likes,liked,liking
care care,cares,cared,caring
face face,faces,faced,facing
confront confront,confronts,confronted,confronting
tackle tackle,tackles,tackled,tackling
protect protect,protects,protected,protecting
shield shield,shields,shielded,shielding
screen screen,screens,screened,screening
cover cover,covers,covered,covering
guarantee guarantee,guarantees,guaranteed,guaranteeing
ensure ensure,ensures,ensured,ensuring
secure secure,secures,secured,securing
provide provide,provides,provided,providing
foresee foresee,foresees,foresaw,foreseeing
expect expect,expects,expected,expecting
refund refund,refunds,refunded,refunding
repay repay,repays,repaid,repaying
put put,puts,put,putting
watch watch,watches,watched,watching
see see,sees,saw,seeing
look look,looks,looked,looking
